resistant_phenotype,antibiotic,genome_id,genome_name,label,organism
susceptible,ciprofloxacin,46170.359,Staphylococcus aureus subsp. aureus strain TW18,0,Staphylococcus aureus
susceptible,gentamicin,46170.1119,Staphylococcus aureus subsp. aureus strain Sau57,0,Staphylococcus aureus
susceptible,gentamicin,46170.1132,Staphylococcus aureus subsp. aureus strain RR8,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1154,Staphylococcus aureus subsp. aureus strain MKR53,0,Staphylococcus aureus
resistant,ampicillin,904786.3,Staphylococcus aureus subsp. aureus IS-160,1,Staphylococcus aureus
susceptible,tetracycline,46170.338,Staphylococcus aureus subsp. aureus strain ATCC,0,Staphylococcus aureus
susceptible,ciprofloxacin,904785.3,Staphylococcus aureus subsp. aureus IS-157,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1160,Staphylococcus aureus subsp. aureus strain LCR01,0,Staphylococcus aureus
susceptible,tetracycline,46170.1088,Staphylococcus aureus subsp. aureus strain ATCC 33591_Moe4,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.565,Staphylococcus aureus subsp. aureus strain M1KS0165_2,0,Staphylococcus aureus
resistant,tetracycline,46170.821,Staphylococcus aureus subsp. aureus strain 14,1,Staphylococcus aureus
susceptible,tetracycline,46170.1134,Staphylococcus aureus subsp. aureus strain RR68,0,Staphylococcus aureus
susceptible,gentamicin,46170.319,Staphylococcus aureus subsp. aureus strain SA33924,0,Staphylococcus aureus
susceptible,tetracycline,46170.640,Staphylococcus aureus subsp. aureus strain M6KS0591_4,0,Staphylococcus aureus
susceptible,gentamicin,46170.1195,Staphylococcus aureus subsp. aureus strain Q47,0,Staphylococcus aureus
susceptible,gentamicin,46170.1167,Staphylococcus aureus subsp. aureus strain ILR76,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.732,Staphylococcus aureus subsp. aureus strain LTF07,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1194,Staphylococcus aureus subsp. aureus strain Q38,0,Staphylococcus aureus
susceptible,tetracycline,46170.1188,Staphylococcus aureus subsp. aureus strain SA H29,0,Staphylococcus aureus
susceptible,tetracycline,46170.599,Staphylococcus aureus subsp. aureus strain M1KS0584_2,0,Staphylococcus aureus
susceptible,gentamicin,46170.350,Staphylococcus aureus subsp. aureus strain TW09,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1177,Staphylococcus aureus subsp. aureus strain ACR34,0,Staphylococcus aureus
resistant,tetracycline,46170.1144,Staphylococcus aureus subsp. aureus strain RR111,1,Staphylococcus aureus
susceptible,tetracycline,46170.1174,Staphylococcus aureus subsp. aureus strain ACR37,0,Staphylococcus aureus
resistant,gentamicin,46170.601,Staphylococcus aureus subsp. aureus strain M1KS0591_2,1,Staphylococcus aureus
susceptible,ciprofloxacin,46170.590,Staphylococcus aureus subsp. aureus strain M1KS0560_1,0,Staphylococcus aureus
resistant,gentamicin,46170.1186,Staphylococcus aureus subsp. aureus strain ABR10,1,Staphylococcus aureus
susceptible,tetracycline,46170.810,Staphylococcus aureus subsp. aureus strain 41,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1183,Staphylococcus aureus subsp. aureus strain ABR29,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.818,Staphylococcus aureus subsp. aureus strain 40,0,Staphylococcus aureus
resistant,gentamicin,46170.747,Staphylococcus aureus subsp. aureus strain LTF15,1,Staphylococcus aureus
susceptible,gentamicin,46170.1148,Staphylococcus aureus subsp. aureus strain QR1130,0,Staphylococcus aureus
susceptible,tetracycline,46170.344,Staphylococcus aureus subsp. aureus strain TW06,0,Staphylococcus aureus
susceptible,ciprofloxacin,904799.3,Staphylococcus aureus subsp. aureus CO-49,0,Staphylococcus aureus
susceptible,tetracycline,46170.806,Staphylococcus aureus subsp. aureus strain VB31683,0,Staphylococcus aureus
susceptible,gentamicin,46170.1153,Staphylococcus aureus subsp. aureus strain NCHR53,0,Staphylococcus aureus
resistant,gentamicin,46170.637,Staphylococcus aureus subsp. aureus strain M6KS0584_3,1,Staphylococcus aureus
resistant,gentamicin,46170.746,Staphylococcus aureus subsp. aureus strain LTF18,1,Staphylococcus aureus
susceptible,tetracycline,46170.1095,Staphylococcus aureus subsp. aureus strain ATCC 33591_Arg6,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.615,Staphylococcus aureus subsp. aureus strain M6KS0265_1,0,Staphylococcus aureus
susceptible,tetracycline,46170.341,Staphylococcus aureus subsp. aureus strain TW02,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.343,Staphylococcus aureus subsp. aureus strain TW04,0,Staphylococcus aureus
susceptible,ciprofloxacin,426430.63,Staphylococcus aureus subsp. aureus str. Newman,0,Staphylococcus aureus
susceptible,tetracycline,523796.83,Staphylococcus aureus subsp. aureus ST398 strain 2012-3,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1179,Staphylococcus aureus subsp. aureus strain ACR15,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.819,Staphylococcus aureus subsp. aureus strain 43,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1139,Staphylococcus aureus subsp. aureus strain RR23,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.564,Staphylococcus aureus subsp. aureus strain M1KS0165_3,0,Staphylococcus aureus
susceptible,gentamicin,46170.589,Staphylococcus aureus subsp. aureus strain M1KS0528_4,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1091,Staphylococcus aureus subsp. aureus strain ATCC 33591_Moe5,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.500,Staphylococcus aureus subsp. aureus strain OXLIM,0,Staphylococcus aureus
susceptible,gentamicin,46170.821,Staphylococcus aureus subsp. aureus strain 14,0,Staphylococcus aureus
resistant,tetracycline,46170.814,Staphylococcus aureus subsp. aureus strain 50,1,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1088,Staphylococcus aureus subsp. aureus strain ATCC 33591_Moe4,0,Staphylococcus aureus
susceptible,tetracycline,1330461.3,Staphylococcus aureus subsp. aureus SA8601,0,Staphylococcus aureus
susceptible,gentamicin,46170.1140,Staphylococcus aureus subsp. aureus strain RR20,0,Staphylococcus aureus
susceptible,tetracycline,46170.613,Staphylococcus aureus subsp. aureus strain M6KS0260_2,0,Staphylococcus aureus
resistant,tetracycline,46170.1158,Staphylococcus aureus subsp. aureus strain MKR24,1,Staphylococcus aureus
susceptible,ciprofloxacin,46170.729,Staphylococcus aureus subsp. aureus strain LTF16,0,Staphylococcus aureus
susceptible,gentamicin,46170.359,Staphylococcus aureus subsp. aureus strain TW18,0,Staphylococcus aureus
susceptible,gentamicin,561307.22,Staphylococcus aureus subsp. aureus RN4220,0,Staphylococcus aureus
susceptible,tetracycline,46170.738,Staphylococcus aureus subsp. aureus strain LTF29,0,Staphylococcus aureus
susceptible,gentamicin,46170.824,Staphylococcus aureus subsp. aureus strain ATCC 12600,0,Staphylococcus aureus
susceptible,gentamicin,46170.1165,Staphylococcus aureus subsp. aureus strain JGR12,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.342,Staphylococcus aureus subsp. aureus strain TW03,0,Staphylococcus aureus
susceptible,tetracycline,46170.637,Staphylococcus aureus subsp. aureus strain M6KS0584_3,0,Staphylococcus aureus
susceptible,tetracycline,46170.556,Staphylococcus aureus subsp. aureus strain M1KS0073_2,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1087,Staphylococcus aureus subsp. aureus strain ATCC 33591_Moe6,0,Staphylococcus aureus
susceptible,gentamicin,46170.409,Staphylococcus aureus subsp. aureus strain SR389,0,Staphylococcus aureus
resistant,ampicillin,904779.3,Staphylococcus aureus subsp. aureus IS-91,1,Staphylococcus aureus
susceptible,tetracycline,46170.557,Staphylococcus aureus subsp. aureus strain M1KS0088_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1095,Staphylococcus aureus subsp. aureus strain ATCC 33591_Arg6,0,Staphylococcus aureus
susceptible,gentamicin,46170.351,Staphylococcus aureus subsp. aureus strain TW08,0,Staphylococcus aureus
susceptible,tetracycline,904786.3,Staphylococcus aureus subsp. aureus IS-160,0,Staphylococcus aureus
resistant,gentamicin,46170.752,Staphylococcus aureus subsp. aureus strain LTF08,1,Staphylococcus aureus
susceptible,tetracycline,46170.573,Staphylococcus aureus subsp. aureus strain M1KS0265_2,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.460,Staphylococcus aureus subsp. aureus strain EDCC5464,0,Staphylococcus aureus
susceptible,gentamicin,46170.1095,Staphylococcus aureus subsp. aureus strain ATCC 33591_Arg6,0,Staphylococcus aureus
susceptible,tetracycline,46170.745,Staphylococcus aureus subsp. aureus strain LTF19,0,Staphylococcus aureus
susceptible,gentamicin,46170.614,Staphylococcus aureus subsp. aureus strain M6KS0260_3,0,Staphylococcus aureus
resistant,ampicillin,904782.3,Staphylococcus aureus subsp. aureus IS-111,1,Staphylococcus aureus
susceptible,gentamicin,46170.365,Staphylococcus aureus subsp. aureus strain TW22,0,Staphylococcus aureus
susceptible,tetracycline,904799.3,Staphylococcus aureus subsp. aureus CO-49,0,Staphylococcus aureus
resistant,tetracycline,46170.1122,Staphylococcus aureus subsp. aureus strain Sau54,1,Staphylococcus aureus
susceptible,gentamicin,46170.617,Staphylococcus aureus subsp. aureus strain M6KS0321_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1178,Staphylococcus aureus subsp. aureus strain ACR3,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.611,Staphylococcus aureus subsp. aureus strain M6KS0260_1,0,Staphylococcus aureus
susceptible,tetracycline,46170.752,Staphylococcus aureus subsp. aureus strain LTF08,0,Staphylococcus aureus
susceptible,tetracycline,46170.588,Staphylococcus aureus subsp. aureus strain M1KS0528_3,0,Staphylococcus aureus
susceptible,tetracycline,46170.1136,Staphylococcus aureus subsp. aureus strain RR51,0,Staphylococcus aureus
susceptible,gentamicin,46170.1175,Staphylococcus aureus subsp. aureus strain ACR40,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.571,Staphylococcus aureus subsp. aureus strain M1KS0260_2,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.583,Staphylococcus aureus subsp. aureus strain M1KS0501_3,0,Staphylococcus aureus
susceptible,gentamicin,46170.588,Staphylococcus aureus subsp. aureus strain M1KS0528_3,0,Staphylococcus aureus
susceptible,tetracycline,46170.342,Staphylococcus aureus subsp. aureus strain TW03,0,Staphylococcus aureus
susceptible,gentamicin,904733.3,Staphylococcus aureus subsp. aureus 21204,0,Staphylococcus aureus
susceptible,tetracycline,46170.329,Staphylococcus aureus subsp. aureus strain SA14-639,0,Staphylococcus aureus
susceptible,gentamicin,46170.629,Staphylococcus aureus subsp. aureus strain M6KS0528_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1186,Staphylococcus aureus subsp. aureus strain ABR10,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1148,Staphylococcus aureus subsp. aureus strain QR1130,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.599,Staphylococcus aureus subsp. aureus strain M1KS0584_2,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.304,Staphylococcus aureus subsp. aureus strain ATCC 6538,0,Staphylococcus aureus
resistant,gentamicin,46170.597,Staphylococcus aureus subsp. aureus strain M1KS0584_1,1,Staphylococcus aureus
susceptible,tetracycline,46170.353,Staphylococcus aureus subsp. aureus strain TW11,0,Staphylococcus aureus
susceptible,gentamicin,46170.348,Staphylococcus aureus subsp. aureus strain TW07_3,0,Staphylococcus aureus
resistant,tetracycline,46170.1157,Staphylococcus aureus subsp. aureus strain RR1,1,Staphylococcus aureus
susceptible,tetracycline,46170.622,Staphylococcus aureus subsp. aureus strain M6KS0367_4,0,Staphylococcus aureus
susceptible,gentamicin,46170.1128,Staphylococcus aureus subsp. aureus strain Sau41,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1153,Staphylococcus aureus subsp. aureus strain NCHR53,0,Staphylococcus aureus
resistant,gentamicin,46170.742,Staphylococcus aureus subsp. aureus strain LTF23,1,Staphylococcus aureus
susceptible,gentamicin,46170.627,Staphylococcus aureus subsp. aureus strain M6KS0526_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.813,Staphylococcus aureus subsp. aureus strain 23,0,Staphylococcus aureus
susceptible,tetracycline,46170.597,Staphylococcus aureus subsp. aureus strain M1KS0584_1,0,Staphylococcus aureus
susceptible,tetracycline,46170.1178,Staphylococcus aureus subsp. aureus strain ACR3,0,Staphylococcus aureus
resistant,gentamicin,46170.639,Staphylococcus aureus subsp. aureus strain M6KS0591_2,1,Staphylococcus aureus
resistant,gentamicin,46170.730,Staphylococcus aureus subsp. aureus strain LTF13,1,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1089,Staphylococcus aureus subsp. aureus strain ATCC 33591_Moe3,0,Staphylococcus aureus
susceptible,tetracycline,46170.819,Staphylococcus aureus subsp. aureus strain 43,0,Staphylococcus aureus
susceptible,gentamicin,46170.822,Staphylococcus aureus subsp. aureus strain 16,0,Staphylococcus aureus
susceptible,gentamicin,46170.498,Staphylococcus aureus subsp. aureus strain NCTC 08532,0,Staphylococcus aureus
susceptible,tetracycline,46170.570,Staphylococcus aureus subsp. aureus strain M1KS0260_1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.601,Staphylococcus aureus subsp. aureus strain M1KS0591_2,0,Staphylococcus aureus
susceptible,gentamicin,46170.357,Staphylococcus aureus subsp. aureus strain TW15,0,Staphylococcus aureus
susceptible,gentamicin,46170.609,Staphylococcus aureus subsp. aureus strain M6KS0130_1,0,Staphylococcus aureus
susceptible,tetracycline,46170.575,Staphylococcus aureus subsp. aureus strain M1KS0321_2,0,Staphylococcus aureus
resistant,gentamicin,46170.726,Staphylococcus aureus subsp. aureus strain LTF30,1,Staphylococcus aureus
susceptible,gentamicin,46170.625,Staphylococcus aureus subsp. aureus strain M6KS0501_1,0,Staphylococcus aureus
susceptible,tetracycline,46170.805,Staphylococcus aureus subsp. aureus strain VB9352,0,Staphylococcus aureus
susceptible,tetracycline,46170.1094,Staphylococcus aureus subsp. aureus strain ATCC 33591_Moe1,0,Staphylococcus aureus
susceptible,ciprofloxacin,46170.1193,Staphylococcus aureus subsp. aureus strain CC1153-MRSA,0,Staphylococcus aureus
susceptible,tetracycline,46170.1164,Staphylococcus aureus subsp. aureus strain KTR43,0,Staphylococcus aureus
susceptible,gentamicin,46170.605,Staphylococcus aureus subsp. aureus strain M6KS0088_2,0,Staphylococcus aureus
susceptible,gentamicin,46170.1154,Staphylococcus aureus subsp. aureus strain MKR53,0,Staphylococcus aureus
susceptible,tetracycline,46170.502,Staphylococcus aureus subsp. aureus strain CIT,0,Staphylococcus aureus
