resistant_phenotype,genome_name,genome_id,antibiotic,label,organism
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBBAAB-19-0097,72407.2245,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain SIKP107,72407.1360,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCGADG-19-0025,72407.2568,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1352/2240,72407.1003,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBAEABJ-19-0046,72407.2903,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBAAAB-19-0030,72407.2232,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain KKP006,72407.1826,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KP_DC,72407.773,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain WCHKP015107,72407.853,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KKP043,72407.1805,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBABAGH-19-0086,72407.2190,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864763,72407.528,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864738,72407.500,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDDAAJ-19-0034,72407.2748,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864875,72407.550,ampicillin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0006,72407.2868,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP048,72407.1295,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 953/1898,72407.957,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 79,72407.1259,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae MRSN752795,72407.2894,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1255/2130,72407.1044,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1354/2241,72407.1010,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KPSW+01,72407.668,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDABE-19-0169,72407.2345,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP176,72407.1355,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae KKP016,72407.1913,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDAAAB-19-0006,72407.2710,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1545/2475,72407.1068,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SCKP020153,72407.894,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WRC31_S468MPC,72407.1636,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain K47,72407.1448,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864742,72407.480,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain EC3089-F-N716-1-636,72407.1599,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864797,72407.579,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 744/1800,72407.1053,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain NCTC7761,72407.1395,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCHACG-19-0361,72407.2588,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain ATH7,72407.1394,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864886,72407.566,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDAAF-19-0094,72407.2326,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDEACE-19-0109,72407.2780,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain M5,72407.1140,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain WRC19_AI1572C,72407.1651,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KKPE27,72407.1767,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864837,72407.487,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864858,72407.529,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864774,72407.546,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCDAAC-19-0012,72407.2486,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBEADF-19-0097,72407.2434,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WRC16_AI1547M,72407.1628,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDAAAE-19-0028,72407.2712,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae KKP016,72407.1913,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KPPUTH03,72407.678,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KP_DC,72407.773,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae RTE-E3,72407.1713,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae KKP091,72407.1866,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDAAB-19-0230,72407.2310,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCIAAH-19-0017,72407.2645,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae 852,72407.2128,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae KKP058,72407.1886,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain ATH22,72407.1385,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain MRSN613178,72407.1773,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1357/2245,72407.921,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae DD02280,72407.1743,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864772,72407.539,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1498/2420,72407.1050,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIKP081,72407.1325,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBAAAE-19-0005,72407.2236,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain WRC29_CMC309MPCH,72407.1659,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae MRSN613178,72407.1862,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBDEAAD-19-0016,72407.2763,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBAGAAD-19-0020,72407.2207,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864795,72407.572,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBADAAG-19-0018,72407.2199,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDBAAJ-19-0028,72407.2726,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae MRSN849862,72407.2970,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDBAAB-19-0115,72407.2723,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBFABG-19-0096,72407.2908,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae WCHKP015109,72407.1975,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain Kpn2108,72407.1839,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae KKP005,72407.1919,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBEAACH-19-0027,72407.2968,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain MRSN825022,72407.1766,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KpvST23L_OXA-48,72407.627,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCAADB-19-0003,72407.2912,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDAAAB-19-0064,72407.2709,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain BL143,72407.1088,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864892,72407.575,ampicillin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1489/2411,72407.999,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain DG7180,72407.1096,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae Kpn1426,72407.1933,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae WCHKP015116,72407.1969,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae WCHKP015123,72407.1967,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1606/2552,72407.963,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBEADA-19-0034,72407.2428,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0377,72407.2886,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae Kpn35,72407.1927,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864813,72407.586,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae KKPE6,72407.1859,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864855,72407.521,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae T3,72407.2103,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain K219,72407.1474,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae WCHKP015114,72407.1973,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain MRSN824868,72407.1810,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain Kpn35,72407.1835,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0287,72407.2865,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KP72,72407.1666,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1173/2056,72407.922,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDDAAF-19-0226,72407.2745,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDAAB-19-0041,72407.2307,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WRC21_AI1646PC,72407.1653,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KPLC+01,72407.697,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCJABE-19-0107,72407.2706,imipenem,0,Klebsiella pneumoniae
resistant,"Klebsiella pneumoniae subsp. pneumoniae strain 738/1691,4",72407.902,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain ATH21,72407.1386,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEHAAB-19-0186,72407.2842,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCCAAB-19-0076,72407.2468,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain KPPUTH02,72407.677,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBDAFI-19-0024,72407.2395,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 43UCESBL_BLUE2LB,72407.728,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDAGD-19-0013,72407.2397,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBBDAGH-19-0004,72407.2407,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1609/2559,72407.1076,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae N1301621,72407.3057,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0020,72407.2870,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain KPCRETH31,72407.695,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae RTE-E3,72407.1713,ciprofloxacin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864753,72407.490,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain KKP020,72407.1818,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBCADC-19-0069,72407.2293,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCGADG-19-0050,72407.2569,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1685/2660,72407.1021,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain BR21,72407.978,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCAADB-19-0079,72407.2909,gentamicin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 59,72407.1258,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain EC2572-F-N720-1-636,72407.1596,gentamicin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1463/2375,72407.942,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae JBCBAAI-19-0070,72407.2463,tetracycline,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864822,72407.593,ampicillin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0376,72407.2884,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae TUM2681,72407.1944,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEHABI-19-0248,72407.2863,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain GCID_CRE_0009,72407.1185,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae SCKP020079,72407.2008,gentamicin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDGAAB-19-0067,72407.2787,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDACI-19-0137,72407.2356,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1787/2780,72407.1032,imipenem,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae N4214030,72407.3040,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBBDAAF-19-0008,72407.2318,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae KKP021,72407.1908,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864815,72407.587,ciprofloxacin,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae MRSN612920,72407.1884,tetracycline,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDEAAD-19-0067,72407.2764,imipenem,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain 1775/2764,72407.1087,ciprofloxacin,1,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WRC04_AI1235M,72407.1612,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain SIEB064,72407.1315,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 1686/2661,72407.964,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBDEACE-19-0035,72407.2779,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae DD02341,72407.1744,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain WRC10_CMC309,72407.1614,tetracycline,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain WCHKP020092,72407.891,imipenem,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCHACG-19-0191,72407.2596,ciprofloxacin,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864934,72407.496,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBCJAAB-19-0002,72407.2693,imipenem,0,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae strain WCHKP015073,72407.868,gentamicin,0,Klebsiella pneumoniae
resistant,Klebsiella pneumoniae subsp. pneumoniae strain SIKP087,72407.1284,tetracycline,1,Klebsiella pneumoniae
susceptible,Klebsiella pneumoniae subsp. pneumoniae JBEAACG-19-0050,72407.2956,tetracycline,0,Klebsiella pneumoniae
